ip_dst,ip_len,ip_proto,ip_src,ip_time,ip_ttl,tcp_dport,tcp_flag,tcp_sport
142.250.204.100,52,6,192.168.221.11,1665372721.2309914,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.2312307,54,51406,PA,443
192.168.221.11,2824,6,142.250.204.100,1665372721.2315214,54,51406,A,443
192.168.221.11,2824,6,142.250.204.100,1665372721.2318184,54,51406,A,443
192.168.221.11,1361,6,142.250.204.100,1665372721.2321138,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2324083,54,51406,A,443
142.250.204.100,87,6,192.168.221.11,1665372721.2326868,64,443,PA,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.2329702,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2332575,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.2335415,54,51406,A,443
192.168.221.11,2824,6,142.250.204.100,1665372721.2338424,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2341318,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2343564,54,51406,A,443
192.168.221.11,2824,6,142.250.204.100,1665372721.2347202,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2351027,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.2353563,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2356749,64,443,A,51406
192.168.221.11,4210,6,142.250.204.100,1665372721.23593,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2362397,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.236527,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2368307,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.237059,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2373533,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.2375886,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2378743,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2381365,54,51406,PA,443
192.168.221.11,2824,6,142.250.204.100,1665372721.2384481,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.238747,64,443,A,51406
192.168.221.11,146,6,142.250.204.100,1665372721.2390418,54,51406,PA,443
192.168.221.11,123,6,142.250.204.100,1665372721.2393372,54,51406,PA,443
192.168.221.11,83,6,142.250.204.100,1665372721.2396162,54,51406,PA,443
192.168.221.11,91,6,142.250.204.100,1665372721.239893,54,51406,PA,443
192.168.221.11,123,6,142.250.204.100,1665372721.2401767,54,51406,PA,443
192.168.221.11,83,6,142.250.204.100,1665372721.2404504,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2407825,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.241006,54,51406,PA,443
142.250.204.100,91,6,192.168.221.11,1665372721.2412956,64,443,PA,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2415786,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2418768,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2422814,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.242563,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2427921,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2430766,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2433527,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.243587,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2438738,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2441022,54,51406,PA,443
192.168.221.11,2824,6,142.250.204.100,1665372721.2443948,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2446806,64,443,A,51406
192.168.221.11,1473,6,142.250.204.100,1665372721.2449021,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2451894,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.2454252,54,51406,A,443
192.168.221.11,2824,6,142.250.204.100,1665372721.2457206,54,51406,PA,443
192.168.221.11,2824,6,142.250.204.100,1665372721.246061,54,51406,A,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2463555,54,51406,A,443
192.168.221.11,2824,6,142.250.204.100,1665372721.2466733,54,51406,PA,443
